,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,0.0001,0.0001,0.0001,0,0,0,0,0,0
Albania,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.079,0,0
American Samoa,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.0005,0.0005,0.0005,0.001,0,0
Antigua and Barbuda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.36,0.465,0.503,0.575,0.715,0.669,0.943,1.078,1.27207,1.37508,2.87009,2.8211,1.6181,1.4021,2.2201,2.155,2.752,2.942,2.719,2.753,0,0
Armenia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004,0.004,0,0
Aruba,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.106,0.113,0.135,0.151,0.159,0.173,0,0
Australia,Billion Kwh,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.7,0.8,0.75,0.77,0.6804,0.681,0.687,0.743,0.956,1,1.066,1.192,1.226,1.604,1.994,2.382,2.634,4.794,5.714,6.67,7.816,6.781,8.254,9.717,12.573,14.939,18.621,21.044,0,0
Austria,Billion Kwh,0.3,0.3,0.5,0.5,0.8,0.9,0.9,0.9,1,1.1,1.18,1.255,1.373,1.404,1.247,1.909,1.809,1.866,1.963,1.815,1.726,1.998,1.891,2.329,3.288,4.233,5.552,6.66,6.806,6.903,7.133,7.132,8.079,8.8554,9.4674,10.6344,0,0
Azerbaijan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.136,0.179,0.192,0,0
"Bahamas, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.0025,0.001,0.001,0.001,0.001,0,0
Bangladesh,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,5.00E-05,0.0001,0.0005,0.001,0.002,0.003,0.004,0.0055,0.012,0.022,0.022,0.032,0.072,0.0638,0,0.144,0.149,0.154,0,0
