,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Billion Kwh,0.711,0.721,0.707,0.746,0.757,0.77,0.713,0.756,0.744,0.75,0.756,0.683,0.473,0.47,0.467,0.412,0.361,0.322,0.3,0.3,0.312,0.498,0.555,0.63,0.565,0.59,0.637,0.748,0.54201,0.7761,0.7511,0.5951,0.71,0.804,0.895,0.89,0,0
Albania,Billion Kwh,2.919,3.018,3.093,3.167,3.241,3.315,3.365,3.979,3.713,3.846,2.82,3.483,3.187,3.281,3.733,4.162,5.669,4.978,4.872,5.231,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.201,7.673,4.036,4.725,6.959,4.726,5.866,0,0
Algeria,Billion Kwh,0.248,0.362,0.474,0.233,0.516,0.639,0.247,0.491,0.181,0.263,0.134,0.29,0.197,0.349,0.164,0.191,0.134,0.074,0.213,0.201,0.053,0.068,0.056,0.262,0.248,0.549,0.216,0.224,0.28,0.303,0.172,0.497,0.616,0.327,0.252,0.223,0,0
American Samoa,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Billion Kwh,0.53,0.53,0.6,0.6,0.6,0.6,0.66,0.66,0.66,0.667,0.718,0.715,0.832,0.881,0.886,0.891,0.916,0.866,1.049,0.885,0.903,1.007,1.132,1.229,1.733,2.197,2.638,2.472,3.103,3.063,3.666,3.967,3.734,4.719,4.991,5.14,0,0
Antarctica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.0005,0.0005,0.0005,0.001,0,0
Antigua and Barbuda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Billion Kwh,17.413,16.482,18.887,18.507,20.556,20.54,20.899,21.723,14.983,12.935,17.797,16.159,19.29,23.728,27.207,26.684,23.043,28.2,26.674,21.753,29.201,37.322,36.435,34.553,31.40807,35.03908,40.44109,32.8841,31.7311,34.9291,35.4711,33.403,31.744,35.388,34.824,36.42,0,0
Armenia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,3.013,4.249,3.479,1.9,1.556,1.376,1.522,1.188,1.248,0.958,1.641,1.962,1.978,1.756,1.808,1.836975,1.78103,2.003,2.537,2.467,2.303,2.155,1.976,2.188,0,0
Aruba,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.106,0.113,0.135,0.151,0.159,0.173,0,0
Australia,Billion Kwh,13.214,14.335,13.961,12.411,12.375,13.929,14.772,13.863,14.11,15.111,14.756,16.433,15.8744,17.164,16.879,16.469,16.575,17.733,16.702,17.701,17.422,18.001,17.712,18.509,18.52,19.95,21.481,20.866,19.606,18.465,21.756,26.473,26.599,33.11,37.007,34.405,0,0
Austria,Billion Kwh,28.801,30.308,30.393,30.077,29.184,31.188,31.396,26.301,36.151,35.741,32.359,32.367,35.856,37.74,36.596,38.605,35.683,37.61,38.755,42.107,43.144,42.048,41.716,35.212,39.682,40.543,41.032,43.392,44.775,47.39,43.884,39.755,50.035,48.7734,48.6464,45.5534,0,0
Azerbaijan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,1.73,2.376,1.811,1.54,1.523,1.695,1.931,1.491,1.519,1.288,2,2.444,2.727,2.979,2.493,2.34,2.21,2.285,3.413,2.649,1.803,1.61,1.466,1.813,0,0
"Bahamas, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.0025,0.001,0.001,0.001,0.001,0,0
Bangladesh,Billion Kwh,0.625,0.523,0.662,0.662,0.897,0.739,0.45,0.512,0.668,0.911,0.875,0.83,0.788,0.602,0.839,0.604,0.732,0.71202,0.85605,0.8251,0.9375,0.984,1.057,1.118,1.218,1.2855,1.387,0.764,0.963,0.445,0.797,0.9268,0.77,1.029,0.731,0.714,0,0
Barbados,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.019,0.019,0.02,0.016,0.021,0.028,0.019,0.027,0.03,0.028,0.028,0.034,0.066,0.129,0.124,0.073,0.105,0.139,0.148,0.202,0.298,0.287,0.326,0,0
Belgium,Billion Kwh,0.574,0.677,0.525,0.531,0.548,0.582,0.839,0.925,0.954,0.9,0.993,1.041,1.216,1.134,1.234,1.386,1.294,1.20895,1.40011,1.552,1.807,2.057,2.075,1.956,2.404,2.763,3.828,4.523,5.478,6.749,7.833,9.441,11.697,12.766,13.378,15.612,0,0
Belize,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.08,0.1,0.108,0.1052,0.1152,0.13323,0.131604,0.128473,0.101384,0.103445,0.108805,0.217963,0.217633,0.204679,0.18823,0.26323,0.24523,0.209,0.259,0.256,0.236,0,0
Benin,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0017,0.0017,0.0017,0.002,0.002,0.002,0.002,0.001,0.001,0.005,0.004,0.004,0.002,0.002,0.002,0.002,0.003,0.003,0.008,0,0
Bermuda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Billion Kwh,0.006,0.007,0.008,0.008,0.008,0.008,0.3,1.168,1.529,1.529,1.541,1.557,1.604,1.604,1.658,1.715,1.852,1.82,1.783,1.782,1.792,1.921,2.178,2.502,2.329,2.62,4.474,6.494,6.891,6.928,7.255,6.975,6.745,7.531,7.15,7.731,0,0
Bolivia,Billion Kwh,1.069,1.143,1.192,1.157,1.176,1.148,1.128,1.117,1.248,1.24,1.272,1.408,1.378,1.404,1.381,1.315,1.492,1.605,1.548,1.827,2.007,2.162,2.235,2.021,2.183,2.001,2.195281,2.358107,2.384,2.394,2.279,2.446,2.451,2.57,2.429,2.652,0,0
Bosnia and Herzegovina,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,3.374,2.343,3.424,3.607,5.104,4.608,4.511,5.477,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.818,6.177,7.946,4.343,4.173,7.165,5.877,5.496,0,0
Botswana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0
Brazil,Billion Kwh,130.336,131.395,142.052,153.089,167.948,179.607,183.9,187.344,200.502,205.943,208.5,219.604,226.009,237.668,245.666,256.96,269.865,283.5651,296.06441,298.4381,309.2051,274.2121,293.5111,314.5151,330.1261,347.7662,360.2772,388.9452,386.5152,410.9182,432.929,458.991,451.483,434.06,427.929,426.638,0,0
Brunei,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0,0
Bulgaria,Billion Kwh,3.674,3.58,3.018,3.318,3.226,2.214,2.302,2.512,2.569,2.662,1.859,2.417,2.042,1.923,1.453,2.291,2.89,2.726,3.068,2.754,2.661,1.72,2.183,3.005,3.156,4.316,4.223,2.898,2.934,3.683,5.737,3.904,5.291,6.879,7.339,8.706,0,0
Burkina Faso,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.009,0.013,0.02,0.047,0.072,0.094,0.114,0.115,0.078,0.123,0.097,0.053,0.064,0.096,0.100444,0.099468,0.079861,0.110303,0.134573,0.130974,0.116,0.081,0.097,0.106,0.09,0.093,0,0
Burma (Myanmar),Billion Kwh,0.788,0.851,0.917,0.983,1,0.993,1.031,1.013,0.926,1.133,1.181,1.228,1.503,1.688,1.598,1.608,1.634,1.669,0.94,1.028,1.873,1.804,2.21,2.228,2.384,2.967,3.292,3.583,4.03,5.203,5.054,7.443,7.688,8.735,8.741,9.305,0,0
Burundi,Billion Kwh,0.002,0.002,0.002,0.023,0.039,0.046,0.061,0.094,0.103,0.102,0.107,0.11,0.104,0.108,0.114,0.117,0.117,0.12,0.109,0.097,0.098,0.114,0.126,0.1,0.09,0.095,0.092,0.116,0.111,0.12,0.141,0.128,0.139,0.138,0.14,0.2,0,0
Cambodia,Billion Kwh,0.049,0.053,0.055,0.04,0.03,0.035,0.04,0.045,0.05,0.054,0.062,0.064,0.067,0.069,0.071,0.073,0.077,0.057,0.05,0.044,0.047,0.031,0.03,0.049,0.042,0.059,0.065,0.065,0.062,0.058,0.055,0.074,0.535,1.02,1.853,2.021,0,0
Cameroon,Billion Kwh,1.35,1.79,2.028,2.003,2.106,2.295,2.297,2.301,2.489,2.602,2.609,2.642,2.624,2.626,2.661,2.725,2.839,3.061,3.085,3.301,3.408,3.439,3.15,3.493,3.881,3.734,4.496,3.885,4.267,4.047,4.276,4.414,3.526,4.11,4.588,5.093,0,0
Canada,Billion Kwh,252.198,264.937,257.185,265.363,285.572,302.399,309.353,315.39,305.762,290.942,297.858,309.297,317.768,325.274,332.295,338.318,358.049,354.19,336.002,350.609,363.46,338.984,356.558,344.009,347.244,369.001,360.592,375.444,384.657,379.545,367.256,392.924,398.753,417.1,415.736,418.679,0,0
Cape Verde,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.006,0.006,0.005,0.006,0.006,0.007,0.007,0.006,0.007,0.002,0.016,0.06,0.1,0.149,0.142,0,0
Cayman Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Billion Kwh,0.066,0.065,0.068,0.064,0.069,0.06,0.076,0.073,0.074,0.074,0.076,0.075,0.077,0.077,0.079,0.08,0.081,0.083,0.081,0.081,0.083,0.082,0.082,0.083,0.124,0.133,0.139,0.136,0.136,0.135,0.134,0.146,0.149,0.154,0.156,0.15,0,0
Chad,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Billion Kwh,7.443,7.688,8.559,9.133,9.532,10.558,11.606,12.326,11.654,9.807,12.815,14.03,18.311,18.772,18.594,21.495,20.318,20.497,16.957,14.451,20.494,22.868,23.993,23.271,23.797,28.015,30.276,25.604,27.072,29.396,24.22,25.948,25.24,26,30.062,32.368,0,0
China,Billion Kwh,57.618,64.845,73.656,85.536,85.932,91.476,93.555,99.198,108.009,117.216,125.14,123.86,130.202,149.219,165.74,187.87,186.575,195.447,205.005,213.716,223.246,277.869,288.437,284.368,353.823,397.67,437.902,488.729,609.146,657.629,783.616,792.5,997.602,1106.628,1283.425,1398.207,0,0
Colombia,Billion Kwh,14.499,14.513,18.33,18.299,20.522,21.854,25.399,21.587,24.813,26.884,27.522,27.479,22.557,28.113,32.416,32.315,35.632,31.852,31.006,33.861,32.249,31.976,34.119,36.307,40.195,39.957,42.908,44.582,46.53,41.239,42.453,50.428,49.114,50.907,51.414,46.649,0,0
Comoros,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.002,0.002,0.002,0,0
Congo (Brazzaville),Billion Kwh,0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,0.783,0.977,0.961,0.942,0.916,0,0
Congo (Kinshasa),Billion Kwh,4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.408,7.722,7.741,7.733,7.527,8.167,8.741,8.837,0,0
Cook Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0,0,0,0,0,0
Costa Rica,Billion Kwh,2.088,2.251,2.352,2.795,2.969,2.739,2.856,2.964,3.01,3.287,3.348,3.629,4.02,4.388,4.375,4.003,4.311,5.396,4.903,5.993,6.793,6.784,7.304,7.138,7.901,7.902,8.084,8.251,8.724,8.788,8.87,8.894,9.273,8.97,9.107,10.623,0,0
Cote dIvoire (IvoryCoast),Billion Kwh,1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.814,1.838,1.533,1.607,1.894,1.997,2.182,1.671,1.82,1.837,1.658,1.964,1.443,0,0
